career,description,career_category,salary_range,future_scope,technical_skills,soft_skills,interests,personality,goals,certifications,projects,roadmap
AI Engineer,"Designs, develops, and deploys artificial intelligence and machine learning solutions to solve real-world problems.",Artificial Intelligence,8-30 LPA,Very High,"Python, Machine Learning, Deep Learning","Problem Solving, Communication","AI, Data Science","Analytical, Research Oriented","High Salary, Innovation","AWS ML, TensorFlow","Chatbot, Resume Analyzer",Python→ML→DL→GenAI
Data Scientist,"Analyzes large datasets, extracts insights, and builds predictive models to support business decisions.",Data Science & Analytics,8-25 LPA,Very High,"Python, SQL, Statistics",Critical Thinking,"Data Analysis, AI",Analytical,"Research, High Salary",Google Data Analytics,Sales Prediction,Python→Statistics→ML→Visualization
Frontend Developer,Builds user-friendly and responsive web interfaces using modern frontend technologies and frameworks.,Web Development,4-15 LPA,High,"HTML, CSS, JavaScript, React","Creativity, Teamwork",Web Development,Creative,Remote Job,Meta Frontend,Portfolio Website,HTML→CSS→JS→React
Backend Developer,"Develops server-side applications, APIs, and database systems that power web and mobile applications.",Software Development,5-18 LPA,High,"Python, Django, SQL, APIs","Problem Solving, Communication","Software Development, Databases","Logical, Analytical","Product Development, High Salary","Django Certification, AWS","E-commerce Backend, REST API System",Python→SQL→Django→APIs→Deployment
Full Stack Developer,Works on both frontend and backend development to build complete web applications from end to end.,Full Stack Development,6-20 LPA,Very High,"HTML, CSS, JavaScript, React, Node.js, SQL","Teamwork, Adaptability","Web Development, Software Engineering","Creative, Analytical","Startup, Freelancing",Full Stack Web Development,"E-commerce Website, Learning Management System",HTML→CSS→JS→React→Node.js→Database
Cybersecurity Analyst,"Protects systems, networks, and data from cyber threats by identifying vulnerabilities and implementing security measures.",Cybersecurity,6-22 LPA,Very High,"Networking, Linux, Ethical Hacking, Security Tools","Attention to Detail, Critical Thinking","Security, Networking","Investigative, Analytical","Secure Systems, High Demand Career","CEH, CompTIA Security+","Vulnerability Scanner, Password Strength Checker",Networking→Linux→Security Fundamentals→Ethical Hacking
Cloud Engineer,"Designs, deploys, and manages cloud infrastructure and services on platforms like AWS, Azure, and Google Cloud.",Cloud Computing,7-25 LPA,Very High,"AWS, Azure, Docker, Linux","Communication, Problem Solving","Cloud Computing, Infrastructure","Analytical, Organized","High Salary, Cloud Specialist","AWS Solutions Architect, Azure Fundamentals","Cloud Deployment System, Server Monitoring Tool",Linux→Networking→Cloud Basics→AWS/Azure
DevOps Engineer,"Automates software deployment, manages infrastructure, and improves collaboration between development and operations teams.",DevOps & Automation,8-28 LPA,Very High,"Linux, Docker, Kubernetes, CI/CD, AWS","Collaboration, Problem Solving","Automation, Cloud Computing","Systematic, Analytical","Automation Expert, High Salary","Docker Certification, AWS DevOps","CI/CD Pipeline, Automated Deployment System",Linux→Docker→CI/CD→Kubernetes→Cloud
Business Analyst,"Analyzes business processes, identifies opportunities for improvement, and helps organizations make data-driven decisions.",Business & Analytics,5-18 LPA,High,"SQL, Excel, Power BI, Data Analysis","Communication, Leadership","Business Strategy, Analytics","Analytical, People-Oriented","Management, Business Growth","Google Data Analytics, Power BI","Sales Dashboard, Business Insights System",Excel→SQL→Data Analysis→Power BI
UI/UX Designer,"Creates intuitive, visually appealing, and user-centered digital experiences through design and usability research.",Design & User Experience,4-15 LPA,High,"Figma, Adobe XD, Wireframing, Prototyping","Creativity, Empathy","Design, User Experience","Creative, Innovative","Product Design, Freelancing",Google UX Design Certificate,"Mobile App Design, Website Redesign",Design Principles→Figma→UX Research→Prototyping
Mobile App Developer,Develops mobile applications for Android and iOS platforms using native or cross-platform technologies.,Mobile Development,5-18 LPA,High,"Flutter, React Native, Firebase, Android","Creativity, Adaptability",Mobile Development,"Creative, Problem Solver","App Development, Entrepreneurship",Flutter Certification,"Food Delivery App, Chat Application",Programming→Flutter/React Native→Firebase
Data Engineer,"Builds and maintains data pipelines, storage systems, and infrastructure required for large-scale data processing and analytics.",Data Engineering,8-30 LPA,Very High,"Python, SQL, Spark, Hadoop, ETL","Analytical Thinking, Teamwork","Big Data, Data Processing","Logical, Detail-Oriented",Data Infrastructure Expert,Google Cloud Data Engineer,"Data Pipeline System, ETL Project",Python→SQL→ETL→Big Data→Cloud Data Engineering
