Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career,combined_text
Bachelor's,Finance,"Counseling, MS Office, Machine Learning",Tally ERP,67,Business Analyst,"Bachelor's Finance Counseling, MS Office, Machine Learning Tally ERP"
Intermediate,Science,"Accounting, MS Office",AWS Certified,67,Software Engineer,"Intermediate Science Accounting, MS Office AWS Certified"
Intermediate,Business,Communication,CFA Level 1,77,Research Scientist,Intermediate Business Communication CFA Level 1
Matric,Business,"Communication, Data Analysis, Counseling",CFA Level 1,93,Software Engineer,"Matric Business Communication, Data Analysis, Counseling CFA Level 1"
Master's,Commerce,Communication,AWS Certified,80,Software Engineer,Master's Commerce Communication AWS Certified
Master's,Arts,Marketing,Google Data Analytics,76,Research Scientist,Master's Arts Marketing Google Data Analytics
Master's,Computer Science,"Financial Analysis, Counseling",Creative Writing,85,ML Engineer,"Master's Computer Science Financial Analysis, Counseling Creative Writing"
PhD,Business,Accounting,CFA Level 1,79,Business Analyst,PhD Business Accounting CFA Level 1
Intermediate,Finance,Accounting,AWS Certified,65,ML Engineer,Intermediate Finance Accounting AWS Certified
Master's,Engineering,"SQL, Communication, Counseling",Creative Writing,80,ML Engineer,"Master's Engineering SQL, Communication, Counseling Creative Writing"
Bachelor's,Business,"Machine Learning, SQL, Counseling",Digital Marketing,68,Software Engineer,"Bachelor's Business Machine Learning, SQL, Counseling Digital Marketing"
Master's,Business,MS Office,Digital Marketing,82,ML Engineer,Master's Business MS Office Digital Marketing
Intermediate,Psychology,"Financial Analysis, Counseling",Mental Health Basics,95,Research Scientist,"Intermediate Psychology Financial Analysis, Counseling Mental Health Basics"
Bachelor's,Commerce,"MS Office, Marketing, SQL",Tally ERP,60,ML Engineer,"Bachelor's Commerce MS Office, Marketing, SQL Tally ERP"
Matric,Finance,"Machine Learning, Accounting",Mental Health Basics,69,Software Engineer,"Matric Finance Machine Learning, Accounting Mental Health Basics"
PhD,Arts,"Accounting, Financial Analysis",Tally ERP,76,Business Analyst,"PhD Arts Accounting, Financial Analysis Tally ERP"
PhD,Computer Science,"Counseling, Machine Learning",Tally ERP,81,Software Engineer,"PhD Computer Science Counseling, Machine Learning Tally ERP"
PhD,Commerce,"Marketing, Machine Learning",Digital Marketing,91,Software Engineer,"PhD Commerce Marketing, Machine Learning Digital Marketing"
Intermediate,Psychology,MS Office,Mental Health Basics,81,Research Scientist,Intermediate Psychology MS Office Mental Health Basics
PhD,Business,"Counseling, Accounting, Financial Analysis",Mental Health Basics,69,ML Engineer,"PhD Business Counseling, Accounting, Financial Analysis Mental Health Basics"
PhD,Computer Science,"SQL, MS Office, Marketing",Tally ERP,82,Software Engineer,"PhD Computer Science SQL, MS Office, Marketing Tally ERP"
Bachelor's,Commerce,Counseling,CFA Level 1,80,Research Scientist,Bachelor's Commerce Counseling CFA Level 1
Matric,Business,"Counseling, Communication, Financial Analysis",Creative Writing,83,ML Engineer,"Matric Business Counseling, Communication, Financial Analysis Creative Writing"
PhD,Psychology,"Financial Analysis, Data Analysis",Tally ERP,88,Business Analyst,"PhD Psychology Financial Analysis, Data Analysis Tally ERP"
